Entity,Code,year,Day,Trainingcompute,Domain
6-layer MLP (MNIST),,2010,01-03-2010,0.131,Vision
ADALINE,,1960,30-06-1960,9.90E-12,Vision
ADAM (CIFAR-10),,2014,22-12-2014,60.5,Vision
ALBERT-xxlarge,,2020,09-02-2020,2390000,Language
ALVINN,,1989,01-12-1989,0.0000812,Driving
AlexNet,,2012,30-09-2012,470,Vision
AlexaTM 20B,,2022,02-08-2022,204000000,Language
AlphaCode,,2022,02-02-2022,405000000,Language
AlphaFold,,2020,15-01-2020,100000,Other
AlphaGo Fan,,2015,01-10-2015,380000.03,Games
AlphaGo Lee,,2016,27-01-2016,1900000,Games
AlphaGo Master,,2017,01-01-2017,150000000,Games
AlphaGo Zero,,2017,18-10-2017,341000000,Games
AlphaStar,,2019,30-10-2019,202000020,Games
AlphaZero,,2017,05-12-2017,36700000,Games
AmoebaNet-A (F=448),,2018,05-02-2018,385000,Vision
BERT-Large,,2018,11-10-2018,285000,Language
BLOOM,,2022,08-11-2022,180000000,Language
Back-propagation,,1986,01-10-1986,1.24E-07,Other
BiLSTM for Speech,,2005,01-08-2005,0.024100002,Speech
BigGAN-deep 512x512,,2018,28-09-2018,3000000,Drawing
Chinchilla,,2022,29-03-2022,576000000,Language
ConSERT,,2021,25-05-2021,280000,Language
DALL-E,,2021,05-01-2021,47000000,Drawing
DQN,,2013,19-12-2013,2.3000002,Games
Decision tree (classification),,2001,08-12-2001,0.063,Vision
Decoupled weight decay regularization,,2019,04-01-2019,2470.0002,Vision
DeepSpeech2 (English),,2015,08-12-2015,26000,Speech
Denoising Diffusion Probabilistic Models (LSUN Bedroom),,2021,11-06-2021,95000.01,Drawing
Dropout (CIFAR),,2012,03-06-2012,4.27,Vision
Dropout (ImageNet),,2012,03-06-2012,273,Vision
Dropout (MNIST),,2012,03-06-2012,6.0400004,Vision
EfficientNetV2,,2021,23-06-2021,6220,Vision
FLAN,,2021,03-09-2021,49000004,Language
Falcon 180B,,2023,06-09-2023,3780000000,Language
Feedforward NN,,2010,13-05-2010,0.35000002,Vision
Flamingo,,2022,29-04-2022,270000000,Multimodal
Fuzzy NN,,1992,01-09-1992,0.0000014,Speech
GANs,,2014,10-06-2014,518,Drawing
GNMT,,2016,26-09-2016,6900000,Language
GPT,,2018,01-06-2018,17600,Language
GPT-2 (1542M),,2019,14-02-2019,1490000,Language
GPT-3 175B (davinci),,2020,28-05-2020,314000000,Language
GPT-4,,2023,15-03-2023,21000000000,Multimodal
GPT-NeoX-20B,,2022,09-02-2022,93200010,Language
Gato,,2022,12-05-2022,5440000,Multimodal
GoogLeNet / InceptionV1,,2015,07-06-2015,1560,Vision
Hanabi 4 player,,2019,01-02-2019,4300,Games
HuBERT,,2021,27-07-2021,5540000,Language
Image Classification with the Fisher Vector: Theory and Practice,,2013,12-06-2013,0.090799995,Vision
Image generation,,2013,20-12-2013,0.475,Vision
Innervator,,1989,01-01-1989,1.20E-07,Other
JFT,,2017,04-08-2017,479000,Vision
Jais,,2023,29-08-2023,30800002,Language
KN5 LM + RNN 400/10 (WSJ),,2010,26-09-2010,61.4,Speech
KataGo,,2019,27-02-2019,23200.002,Games
LLaMA-65B,,2023,24-02-2023,550000000,Language
LSTM,,1997,15-11-1997,0.021,Language
LaMDA,,2022,10-02-2022,355000000,Language
LeNet-5,,1998,01-11-1998,0.00281,Vision
Libratus,,2017,01-01-2017,551000,Games
Llama 2,,2023,18-07-2023,900000000,Language
M6-T,,2021,05-03-2021,5500000.5,Multimodal
MCDNN (MNIST),,2012,13-02-2012,3.73,Vision
"MSRA (C, PReLU)",,2015,06-02-2015,24000,Vision
Megatron-Turing NLG 530B,,2021,11-10-2021,1170000000,Language
Meta Pseudo Labels,,2021,01-03-2021,47900004,Vision
Minerva (540B),,2022,29-06-2022,2740000300,Language
Mitosis,,2013,22-09-2013,137,Vision
MnasNet-A1 + SSDLite,,2019,29-05-2019,1500000,Vision
MnasNet-A3,,2019,29-05-2019,1500000,Vision
MuZero,,2019,19-11-2019,48000,Games
NASv3 (CIFAR-10),,2016,05-11-2016,2200000,Vision
NLLB,,2022,06-07-2022,17500000,Language
NPLM,,2003,15-03-2003,1.3000001,Language
Named Entity Recognition model,,2016,21-07-2016,96.9,Language
Neocognitron,,1980,01-04-1980,2.28E-07,Vision
NetTalk,,1987,06-06-1987,2.77E-05,Speech
NÜWA,,2021,24-11-2021,4840000,Multimodal
ObjectNet,,2019,06-09-2019,19400.002,Vision
OpenAI Five,,2019,13-12-2019,67000004,Games
OpenAI Five Rerun,,2019,13-12-2019,13000000,Games
OpenAI TI7 DOTA 1v1,,2017,11-08-2017,604609.5,Games
PLUG,,2021,19-04-2021,36000000,Language
PNASNet-5,,2017,02-12-2017,66300,
PaLM (540B),,2022,04-04-2022,2530000100,Language
PaLM 2,,2023,10-05-2023,7339999700,Language
Pandemonium (morse),,1959,01-02-1959,6.00E-07,Other
Part-of-sentence tagging model,,2016,21-07-2016,145,Language
Parti,,2022,22-06-2022,396000000,Drawing
Perceptron Mark I,,1957,01-01-1957,6.95E-10,Vision
R-FCN,,2016,21-06-2016,61.500004,Vision
RNN 500/10 + RT09 LM (NIST RT05),,2010,26-09-2010,3.41,Speech
RNNsearch-50*,,2014,01-09-2014,1560,Language
ResNet-152 (ImageNet),,2015,10-12-2015,12100,Vision
RetinaNet-R101,,2017,07-08-2017,2070,Vision
RoBERTa Large,,2019,01-07-2019,4150000,Language
SPPNet,,2014,18-06-2014,3410,Vision
Samuel Neural Checkers,,1959,01-07-1959,4.28E-07,Games
Seq2Seq LSTM,,2014,10-09-2014,56000,Language
SmooCT,,2014,01-07-2014,69,Games
Sparse all-MLP,,2022,14-04-2022,60800,Language
Stable Diffusion (LDM-KL-8-G),,2022,13-04-2022,50000000,Drawing
Swift,,2023,30-08-2023,53.37,Robotics
System 11,,1996,18-06-1996,0.0000129,Vision
T5-11B,,2019,23-10-2019,40500000,Language
T5-3B,,2019,23-10-2019,10400001,Language
TD-Gammon,,1992,01-05-1992,0.018199999,Games
Taiyi-Stable Diffusion,,2022,31-10-2022,51000000,Drawing
Theseus,,1950,02-07-1950,4.00E-14,Other
TransE,,2013,05-12-2013,1340,Other
Transformer,,2017,12-06-2017,7420,Language
Transformer local-attention (NesT-B),,2021,26-05-2021,24100,Vision
Unsupervised High-level Feature Learner,,2012,12-07-2012,600,Vision
VGG16,,2014,04-09-2014,9250,Vision
ViT-H/14,,2020,28-09-2020,12800000,Vision
Visualizing CNNs,,2013,12-11-2013,532,Vision
Whisper,,2022,21-09-2022,46500000,Speech
Word2Vec (large),,2013,16-10-2013,38.9,Language
YOLOv3,,2018,08-04-2018,50900,Vision
Zip CNN,,1989,01-12-1989,0.0000434,Vision
wave2vec 2.0 LARGE,,2020,22-10-2020,1900000,Speech
